model_type,case,label,label_prob,model_r2,model_intercept,model_prediction,feature,feature_value,feature_weight,feature_desc,data,prediction
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,OverTime,2,-0.24646806655286932,OverTime = Yes,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,JobLevel,1,-0.10794926930683209,JobLevel = 1,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,PerformanceRating,4,0.0870270809648867,3.75 < PerformanceRating,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,YearsSinceLastPromotion,0,0.09053874709959314,YearsSinceLastPromotion <= 1,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,JobInvolvement,4,0.0812280023092543,3 < JobInvolvement,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,YearsWithCurrManager,0,-0.06092593051080024,YearsWithCurrManager <= 2,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,JobSatisfaction,1,-0.057903583178553965,JobSatisfaction <= 2,,
classification,1,No,0.6669778080959833,0.3264588340697468,0.8319772586724268,0.666838616516925,YearsAtCompany,1,0.04931437701981951,YearsAtCompany <= 3,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,OverTime,1,0.24085886388414385,OverTime = No,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,YearsSinceLastPromotion,4,-0.14244636391150525,2 < YearsSinceLastPromotion,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,TotalWorkingYears,5,-0.10534306412669107,TotalWorkingYears <= 6,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,JobLevel,1,-0.10249617754390922,JobLevel = 1,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,StockOptionLevel,2,0.08381054445215291,StockOptionLevel = 1,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,DistanceFromHome,26,-0.08532948700959898,14 < DistanceFromHome,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,EnvironmentSatisfaction,1,-0.0770702157575933,EnvironmentSatisfaction <= 2,,
classification,2,No,0.8136598151330977,0.4021604410591411,0.6875607846532162,0.574449031508477,JobRole,7,0.07490414686826181,JobRole = Research Scientist,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,OverTime,1,0.2458420508639271,OverTime = No,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,JobLevel,1,-0.10381073659183414,JobLevel = 1,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,StockOptionLevel,1,-0.10046263727355453,StockOptionLevel = 0,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,TotalWorkingYears,0,-0.09915729730307996,TotalWorkingYears <= 6,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,YearsSinceLastPromotion,0,0.07823778170257185,YearsSinceLastPromotion <= 1,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,JobRole,7,0.07652124039050821,JobRole = Research Scientist,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,NumCompaniesWorked,1,0.07721449577193819,NumCompaniesWorked <= 1,,
classification,3,No,0.9126318687291216,0.3914966985093533,0.6068314686691823,0.7092921922409805,DistanceFromHome,15,-0.0719241739886784,14 < DistanceFromHome,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,OverTime,1,0.2531117191778287,OverTime = No,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,YearsSinceLastPromotion,1,0.10067885082021338,YearsSinceLastPromotion <= 1,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,StockOptionLevel,1,-0.10105017241139475,StockOptionLevel = 0,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,JobLevel,1,-0.09595596456905449,JobLevel = 1,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,JobRole,7,0.08006183178982959,JobRole = Research Scientist,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,EnvironmentSatisfaction,2,-0.07405129632550737,EnvironmentSatisfaction <= 2,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,TrainingTimesLastYear,2,-0.0621028240882227,TrainingTimesLastYear <= 2,,
classification,4,No,0.8471866974388634,0.3716252150604952,0.650576716870883,0.6948763863074244,JobSatisfaction,1,-0.056392474957150975,JobSatisfaction <= 2,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,OverTime,2,-0.24262709613431632,OverTime = Yes,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,JobLevel,2,0.10358895586378848,JobLevel = 2,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,StockOptionLevel,1,-0.10523898172505806,StockOptionLevel = 0,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,YearsSinceLastPromotion,1,0.08188860047860982,YearsSinceLastPromotion <= 1,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,EnvironmentSatisfaction,4,0.07754198025656397,3 < EnvironmentSatisfaction,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,TrainingTimesLastYear,5,0.06740799697657136,3 < TrainingTimesLastYear,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,BusinessTravel,3,0.05816429177452358,BusinessTravel = Travel_Rarely,,
classification,5,No,0.9784431618739865,0.3692475994217619,0.6820743620048332,0.7821247481587655,JobSatisfaction,4,0.05932463866324953,3 < JobSatisfaction,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,OverTime,1,0.2552412578952062,OverTime = No,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,TotalWorkingYears,19,0.1341329756097917,15 < TotalWorkingYears,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,JobLevel,2,0.098408445451401,JobLevel = 2,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,StockOptionLevel,2,0.07801421844113794,StockOptionLevel = 1,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,EnvironmentSatisfaction,4,0.07446758934041285,3 < EnvironmentSatisfaction,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,YearsSinceLastPromotion,0,0.07369989755335994,YearsSinceLastPromotion <= 1,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,TrainingTimesLastYear,6,0.0733147771054495,3 < TrainingTimesLastYear,,
classification,6,No,0.994968917001373,0.4017490030855436,0.3914101374509966,1.1139928151354248,EducationField,6,-0.06469648371233098,EducationField = Technical Degree,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,OverTime,1,0.24165104688744252,OverTime = No,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,TotalWorkingYears,6,-0.09696540240626676,TotalWorkingYears <= 6,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,JobLevel,1,-0.09396880362290215,JobLevel = 1,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,YearsSinceLastPromotion,1,0.09250013112671365,YearsSinceLastPromotion <= 1,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,EnvironmentSatisfaction,4,0.0731846948354568,3 < EnvironmentSatisfaction,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,NumCompaniesWorked,1,0.07245240234088168,NumCompaniesWorked <= 1,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,JobRole,7,0.06709374748533667,JobRole = Research Scientist,,
classification,7,No,0.9965673899275458,0.35163414616984634,0.5124653659323168,0.9261088503595679,StockOptionLevel,3,0.05769566778058869,StockOptionLevel = 2,,
classification,8,Yes,0.7846785037767564,0.42041345399482505,0.3743016914381974,0.41983384507857713,OverTime,1,-0.26520252405517164,OverTime = No,,
classification,8,Yes,0.7846785037767564,0.42041345399482505,0.3743016914381974,0.41983384507857713,StockOptionLevel,1,0.11405923771740062,StockOptionLevel = 0,,
classification,8,Yes,0.7846785037767564,0.42041345399482505,0.3743016914381974,0.41983384507857713,JobLevel,1,0.10461473898096588,JobLevel = 1,,
